Age,Gender,Marital_Status,Education,Location,Monthly_Income,Credit_Score,Existing_Loans,Bank_Balance,Monthly_Expense,Loan_Amount,Loan_Tenure,Interest_Rate,EMI,Missed_EMI,Credit_Inquiries,Online_Engagement_Score,Past_Application_Status,Loan_Status
50,Male,Married,Bachelor,Urban,108775,854,1,272445,55406,755640,24,8.533255555,36858.39102,4,6,63,Approved,0
58,Female,Single,High School,Urban,21217,447,2,,39370,994344,12,12.5898387,93294.19215,3,,40,,0
22,Female,Single,Bachelor,Semi-Urban,124173,612,0,193892,84860,1922817,60,9.531420021,47319.59704,,,35,Approved,0
41,Female,Divorced,Bachelor,Semi-Urban,26807,509,0,,54739,384788,60,14.76584142,11147.89882,,,5,,0
53,Male,Married,Master,Urban,147784,573,4,278836,88428,206927,60,7.467914134,4736.544223,3,,72,,0
32,Female,Divorced,Bachelor,Urban,44638,444,2,363322,98761,1371496,24,13.69763885,72800.88074,2,,93,,0
42,Male,Single,Master,Rural,48471,673,0,426858,11803,812352,24,14.50145514,43664.90507,,6,77,Approved,0
64,Female,Single,Master,Urban,112653,655,3,261267,19375,122195,12,9.235912126,11123.4019,3,3,5,Approved,0
45,Male,Married,Bachelor,Semi-Urban,120621,850,2,131985,96169,1751954,60,10.53166396,44575.059,3,1,78,Approved,0
47,Male,Single,Master,Urban,56788,763,1,141204,10262,265558,60,11.45503078,6960.945886,3,1,86,Rejected,0
62,Female,Single,High School,Semi-Urban,68765,466,1,64302,46568,1671866,60,10.20811436,42086.59943,3,,14,,0
48,Male,Married,Bachelor,Semi-Urban,127691,643,2,426144,78409,1496187,48,8.82001325,42167.55347,3,,44,Rejected,0
36,Male,Single,Master,Rural,38090,448,2,290041,97322,719461,60,9.884906103,17917.52036,4,,24,,0
35,Female,Single,Bachelor,Urban,103072,584,2,337836,20457,398119,48,12.46991763,12431.23845,2,,83,,0
64,Male,Single,Master,Urban,41365,653,1,307005,77794,483977,48,10.05095513,14136.54676,4,8,48,Approved,0
23,Male,Married,High School,Rural,137088,560,4,188615,70356,431137,24,9.800658793,21485.23052,2,,47,,0
57,Male,Married,Master,Urban,94367,471,0,493005,84028,1489226,12,9.094981062,135389.2352,,,58,,0
27,Female,Single,High School,Rural,59562,489,2,10695,18277,97120,60,14.81851321,2817.978335,3,,93,,0
41,Female,Married,Bachelor,Semi-Urban,30387,412,0,349346,28551,781271,48,14.40770479,25656.74744,,,9,,0
29,Female,Single,Bachelor,Urban,127256,794,3,315861,48351,579336,24,13.2306735,30526.50455,1,8,63,Approved,1
59,Female,Divorced,Bachelor,Rural,109166,745,0,486973,11840,140446,60,14.4144025,4027.804311,,5,89,Approved,0
38,Female,Divorced,High School,Urban,54011,732,0,26882,88008,1201903,48,10.76436877,35821.08509,,7,57,Approved,0
24,Female,Married,Bachelor,Semi-Urban,133044,466,3,143138,40058,788857,36,9.716435651,28300.09301,4,,72,,0
45,Female,Single,Bachelor,Semi-Urban,137846,605,3,149853,36653,1691897,12,12.99235111,159309.5166,3,,36,Approved,0
34,Female,Married,Bachelor,Semi-Urban,43368,828,2,286699,27886,1436741,36,12.39936948,54755.04098,2,3,13,Rejected,0
29,Male,Married,Bachelor,Semi-Urban,38835,864,3,456846,38325,1587063,24,14.2851791,85020.52433,1,2,73,Rejected,1
46,Male,Divorced,Bachelor,Semi-Urban,73364,677,3,485684,87202,650775,36,7.954110945,22390.69713,3,0,19,Approved,0
22,Male,Divorced,Master,Semi-Urban,137237,482,1,449869,43401,718891,12,13.1408905,67779.97326,3,,28,,0
40,Male,Married,Master,Urban,142512,505,0,306726,96833,325092,60,10.46387674,8252.968847,,,9,,0
48,Female,Single,Bachelor,Semi-Urban,130185,739,4,480600,47258,1388986,36,13.25464037,53925.03603,4,9,80,Approved,0
27,Male,Divorced,Bachelor,Urban,28126,492,0,,72441,1375379,48,10.80648844,41039.57688,,,20,,0
64,Male,Married,Bachelor,Urban,29806,557,4,,98117,870898,60,12.30393441,23444.52656,2,,97,,0
28,Male,Married,High School,Urban,133387,311,3,386296,84498,1620732,24,12.47629486,84381.1086,0,,31,,0
55,Male,Single,Bachelor,Urban,146852,484,1,168605,21878,1879124,60,12.72718115,51248.69296,3,,22,,0
34,Male,Single,High School,Rural,141005,514,0,41878,95509,1970083,24,10.71888596,99684.37083,,,1,,0
37,Female,Single,High School,Semi-Urban,92809,758,0,326450,55488,1935704,60,11.8885629,51439.01564,,5,16,Approved,1
56,Female,Single,Bachelor,Rural,94848,639,4,482297,96630,1569999,36,13.32262119,61041.50162,2,,45,Rejected,0
60,Male,Single,Bachelor,Urban,59389,663,2,57682,12968,843070,12,10.70009885,77773.27695,0,7,97,Rejected,1
24,Male,Married,High School,Semi-Urban,105839,620,0,94172,42931,1752921,48,7.741603755,47827.87066,,,89,Approved,0
22,Male,Single,Master,Urban,143427,539,3,72712,29808,999277,60,9.958109558,24947.04154,3,,87,,0
26,Male,Single,Master,Urban,144516,314,4,441010,92569,373501,60,10.02571753,9345.529601,3,,22,,0
62,Female,Single,Master,Rural,131464,465,0,140638,50936,578957,48,14.77695421,19190.95507,,,86,,0
24,Male,Single,Bachelor,Urban,88144,653,2,476102,97674,1470545,36,12.19040731,55787.25766,4,3,13,Approved,0
49,Female,Divorced,High School,Urban,103365,756,0,98180,19222,1000708,24,11.83020182,51561.648,,7,67,Rejected,0
38,Male,Single,High School,Urban,89335,620,4,292516,62008,506624,36,10.5966716,18546.66235,1,,43,Approved,0
46,Female,Single,High School,Semi-Urban,130168,564,2,242504,27230,1778204,36,7.446986407,60429.77307,1,,60,,0
64,Female,Divorced,High School,Semi-Urban,35770,469,1,321029,39107,1079591,60,13.88974883,30489.22319,3,,1,,0
54,Female,Married,Master,Urban,95076,810,0,54499,87017,923873,24,13.26329674,48706.04312,,8,8,Rejected,1
30,Male,Single,PhD,Urban,64977,749,2,131841,38197,1868282,12,7.516593812,167392.7641,4,3,34,Rejected,0
56,Male,Married,Master,Urban,74128,377,3,35374,86384,1600964,24,10.19701936,80311.05075,2,,72,,0
34,Female,Married,Master,Urban,46068,507,4,321423,56175,559600,48,13.97555431,18175.60016,2,,93,,0
51,Male,Married,Bachelor,Rural,97226,330,2,122811,27917,1730307,24,10.38376312,87068.70668,4,,55,,0
35,Male,Single,Master,Rural,109442,493,4,420266,32215,1254996,48,9.341172921,35915.02888,2,,3,,0
28,Female,Divorced,Master,Rural,114533,459,1,456307,80109,108489,60,8.851440737,2608.386628,0,,47,,0
34,Male,Single,Bachelor,Rural,38440,399,4,213048,63515,166196,48,8.90716816,4696.029766,1,,67,,0
43,Female,Single,High School,Rural,39436,803,1,303902,96184,264139,60,8.827479015,6345.384566,1,6,62,Pending,1
60,Male,Single,High School,Rural,115322,502,0,62553,69283,649553,12,7.94123498,58427.96084,,,27,,0
41,Male,Single,Bachelor,Rural,143584,307,0,395323,22663,479285,24,9.514868905,23770.48662,,,31,,0
36,Female,Divorced,Bachelor,Rural,104253,781,0,160007,29422,101106,12,13.46105544,9559.661226,,2,18,Approved,0
38,Female,Married,Master,Urban,33454,843,3,360027,49207,1644064,12,13.86542066,156001.6991,4,7,58,Approved,0
44,Female,Single,Bachelor,Urban,63423,602,0,363023,86460,555696,36,7.434139346,18878.60125,,,16,Rejected,0
46,Female,Single,Bachelor,Semi-Urban,49395,307,3,361513,74612,520878,24,11.39630042,26649.98514,3,,30,,0
45,Male,Single,High School,Semi-Urban,148899,471,3,415066,7490,240790,36,13.63999981,9425.590739,1,,12,,0
61,Male,Divorced,Bachelor,Semi-Urban,68059,452,1,410487,80519,849503,48,9.215113868,24221.5349,4,,6,,0
49,Male,Married,Bachelor,Semi-Urban,29142,581,0,,69847,1364461,60,9.322504686,33341.17839,,,29,,0
35,Female,Married,Master,Semi-Urban,38209,692,3,477038,98728,1911383,48,11.93918906,58837.44834,3,7,53,Approved,0
21,Male,Married,Bachelor,Urban,130575,602,4,112447,36755,269566,36,11.30818218,10028.19564,0,,94,Approved,0
45,Male,Married,PhD,Urban,83095,499,1,392441,99669,406110,48,12.13114536,12566.10787,4,,25,,0
27,Male,Married,Bachelor,Rural,66140,444,0,371271,14215,1388380,60,8.927382995,33468.5,,,49,,0
29,Female,Single,Bachelor,Semi-Urban,149317,314,3,345314,32777,814792,60,7.52556744,18689.67679,1,,25,,0
44,Female,Married,Master,Urban,55155,609,3,313817,91187,895582,48,8.427287445,24947.39745,2,,86,Pending,0
21,Male,Married,PhD,Rural,74126,696,1,351752,73193,817906,24,7.88790405,39455.72004,1,1,91,Pending,1
64,Male,Married,High School,Urban,92498,805,1,484216,55590,1809860,12,7.07252616,161488.5685,2,1,84,Approved,0
28,Female,Divorced,Master,Urban,69337,794,1,491495,11478,491642,60,10.12662149,12342.92704,2,5,12,Approved,0
44,Female,Married,High School,Urban,35451,343,0,137691,87051,141849,24,9.71313132,7058.53997,,,84,,0
31,Female,Married,Bachelor,Rural,119558,558,3,124363,44597,298578,48,14.57165385,9846.021053,1,,43,,0
37,Female,Divorced,High School,Semi-Urban,121912,480,4,271407,85031,1547248,12,10.33965357,142269.0069,0,,96,,0
28,Male,Single,Bachelor,Urban,58026,611,4,410404,42200,770283,60,14.25928726,21991.12214,3,,93,Approved,0
55,Female,Single,Bachelor,Rural,20881,353,4,,31092,1399850,12,12.66959454,131433.7766,1,,76,,0
55,Male,Married,Bachelor,Rural,69927,648,1,330795,32046,1818916,24,14.48118038,97738.20891,2,,57,Approved,0
53,Female,Single,Bachelor,Semi-Urban,147777,683,1,203552,48739,250462,24,9.36056916,12389.63906,3,1,83,Approved,0
25,Male,Married,Bachelor,Rural,109882,486,1,420738,68939,1226199,24,13.60586443,64994.53947,4,,14,,0
62,Male,Married,High School,Semi-Urban,130443,620,0,111181,7971,1395466,36,9.411576864,49707.55738,,,49,Rejected,0
59,Female,Married,Master,Semi-Urban,49333,651,3,416515,72468,133078,60,8.535664727,3164.557659,1,6,15,Approved,1
61,Male,Divorced,Bachelor,Urban,138973,755,4,286036,84835,52077,48,10.36234705,1534.637456,3,4,60,Rejected,0
48,Male,Single,Bachelor,Urban,70759,592,3,38360,94338,1088610,48,7.910194044,29855.30528,3,,36,,0
27,Male,Married,PhD,Urban,110464,458,4,113701,80064,851293,60,14.73044615,24638.15475,3,,37,,0
29,Female,Married,High School,Rural,30278,778,3,244654,72943,565869,24,10.83437103,28686.90392,1,6,28,Rejected,1
28,Female,Single,Bachelor,Urban,53864,324,1,74625,17567,630943,24,8.07564569,30535.35177,1,,3,,0
32,Female,Single,Bachelor,Urban,27029,531,0,,58256,1520261,36,7.553400566,51798.7558,,,71,,0
54,Male,Married,High School,Urban,89653,860,4,179615,37774,666855,24,14.98958453,36115.52449,4,8,68,Approved,0
53,Male,Married,Bachelor,Urban,135400,819,2,485259,40940,548687,12,12.04150029,51229.76222,1,8,75,Approved,1
43,Male,Married,Master,Urban,126526,777,4,233301,96001,1751394,36,10.29842566,63680.33408,4,0,78,Pending,0
44,Male,Married,High School,Rural,105281,718,0,64294,11499,1900770,24,8.533844847,92716.14689,,4,88,Rejected,0
57,Female,Single,Bachelor,Rural,39267,669,3,70424,18077,80839,60,9.674384004,1999.039607,0,9,37,Approved,1
55,Male,Single,Bachelor,Rural,81293,791,4,30530,93194,359047,48,14.20625917,11730.74145,3,2,88,Rejected,0
64,Male,Single,Bachelor,Semi-Urban,80493,312,3,15430,89551,329179,48,11.17406122,9923.117748,3,,90,,0
60,Male,Divorced,Master,Rural,97242,372,1,37135,7051,1621188,24,9.267027127,80069.16098,2,,58,,0
42,Female,Single,Master,Urban,148775,451,0,487553,75634,750984,24,14.31204793,40247.76584,,,16,,0
47,Male,Divorced,Bachelor,Semi-Urban,103380,731,0,394272,56369,1893035,48,13.78703861,61187.6847,,9,57,Approved,1
55,Female,Divorced,Master,Urban,115592,844,4,137490,92169,1298177,36,8.697635293,45469.6973,0,0,45,Approved,1
21,Female,Divorced,Master,Rural,95746,556,3,191329,81589,942326,48,10.73104541,28058.57758,3,,6,,0
55,Male,Single,Bachelor,Urban,30965,627,2,345889,5615,217954,12,13.02587041,20528.70047,1,,36,Approved,0
57,Male,Divorced,PhD,Semi-Urban,89685,553,3,492915,70029,345052,36,7.965993915,11875.34622,2,,26,,0
34,Male,Single,Master,Semi-Urban,73618,421,3,354085,32192,763687,48,11.05630534,22946.44305,1,,40,,0
23,Male,Single,High School,Semi-Urban,89189,332,3,70213,56797,1613427,60,9.892929421,40191.7162,2,,10,,0
21,Female,Single,Bachelor,Urban,36480,559,3,436600,27146,1350449,36,11.35971651,50296.40373,3,,19,,0
25,Female,Divorced,Master,Semi-Urban,29076,849,3,,42193,1897319,24,11.0162769,96472.78457,0,6,48,Approved,0
46,Female,Single,Bachelor,Semi-Urban,127025,452,4,215394,72671,1441450,60,8.710152522,34486.87446,0,,81,,0
34,Female,Married,Master,Urban,56487,544,4,252432,91254,1998400,36,12.303225,76000.08181,1,,89,,0
59,Female,Single,Bachelor,Semi-Urban,64678,440,2,10081,11971,724409,36,7.668530281,24751.76585,3,,22,,0
47,Female,Single,Bachelor,Rural,142719,788,0,318027,97519,972066,36,9.319894598,34551.46055,,1,15,Pending,1
29,Female,Single,High School,Rural,36262,529,0,205196,52142,1992678,36,9.220756561,70663.83228,,,67,,0
35,Female,Married,Bachelor,Urban,82499,500,2,143084,69155,1150274,24,13.99049722,61338.83766,3,,40,,0
35,Female,Married,Bachelor,Urban,26461,854,3,,95621,1489420,12,14.94179399,142663.839,2,5,67,Approved,0
46,Female,Divorced,Master,Urban,33681,465,1,286615,89710,690616,24,8.618773231,33735.88558,3,,89,,0
62,Male,Married,Bachelor,Semi-Urban,59986,334,4,351444,30388,1849718,60,11.67731604,48828.41807,2,,38,,0
33,Male,Divorced,High School,Rural,134654,529,2,296585,45539,432940,12,13.72409537,41029.75821,0,,44,,0
52,Male,Married,Bachelor,Rural,26430,589,0,,72537,1097911,60,8.744258312,26298.86449,,,71,,0
59,Female,Married,Bachelor,Rural,123049,725,3,92002,35082,684916,12,14.47740919,65339.50766,4,5,45,Approved,0
52,Male,Married,Master,Semi-Urban,121971,365,3,152748,69237,1617763,12,11.14617076,149840.1355,4,,30,,0
24,Female,Single,Master,Semi-Urban,48914,333,3,33388,80584,1788265,12,14.90083057,171227.6115,0,,84,,0
50,Female,Married,Bachelor,Urban,58178,531,1,134328,19432,522910,36,13.34693474,20341.31582,0,,88,,0
57,Male,Married,High School,Urban,118716,631,2,376464,95127,1336909,48,11.28260916,40422.12228,2,,56,Approved,0
43,Female,Married,High School,Rural,95997,426,4,490569,82357,1370055,12,10.03081659,125623.5587,4,,93,,0
59,Male,Married,High School,Semi-Urban,77264,424,4,71205,89729,1587739,36,13.37346044,61798.49836,2,,56,,0
35,Female,Single,Master,Urban,143934,667,4,141758,71211,1530016,36,11.86504483,57628.53481,2,3,91,Approved,0
63,Female,Married,High School,Urban,46464,378,3,272025,97766,346260,12,11.05699828,32045.49685,2,,33,,0
49,Male,Single,Bachelor,Urban,81047,309,0,384047,61867,1388859,48,8.107399848,38317.9252,,,81,,0
56,Male,Married,Bachelor,Semi-Urban,94599,847,3,195571,94251,1573416,36,11.96576174,59395.26747,4,3,95,Rejected,0
33,Male,Married,PhD,Rural,115984,467,3,140973,87094,1139590,48,11.84148728,34986.82541,2,,55,,0
52,Male,Divorced,PhD,Urban,146019,436,1,186260,97975,1778569,60,10.80572274,45658.41957,2,,39,,0
27,Male,Single,PhD,Urban,43521,480,3,484191,36113,181816,12,8.758378989,16478.34453,1,,97,,0
42,Male,Single,Master,Semi-Urban,63792,753,3,421793,31389,451675,48,9.331251791,12922.14013,0,6,71,Approved,1
48,Female,Single,Master,Urban,37889,385,1,27582,81827,68854,60,9.07805864,1668.450541,0,,47,,0
22,Female,Single,Master,Urban,85631,513,3,149639,82475,567570,12,9.97624791,52016.01586,1,,31,,0
62,Female,Married,Master,Urban,36608,608,2,189310,62965,1213298,36,10.29584521,44112.66256,4,,90,Approved,0
26,Female,Married,PhD,Urban,128068,466,2,177351,77204,1675973,12,8.454432486,151472.2505,4,,67,,0
48,Male,Married,Bachelor,Semi-Urban,73982,616,2,236303,30249,1260198,60,11.30177557,32872.02914,0,,65,Rejected,0
48,Female,Married,Bachelor,Rural,31609,351,1,166631,64087,1572103,24,12.98474043,82515.41615,1,,81,,0
64,Female,Single,Bachelor,Semi-Urban,81662,495,4,466272,31074,275535,24,8.652110702,13467.25777,3,,75,,0
64,Male,Single,Bachelor,Semi-Urban,98814,505,2,205311,53789,1388686,12,14.7909,132840.4298,1,,30,,0
40,Female,Single,Master,Urban,43835,542,0,131932,9527,1845598,36,8.458283424,64275.43692,,,12,,0
50,Male,Married,Master,Semi-Urban,68381,517,0,407462,83997,682366,24,12.87130755,35751.03554,,,8,,0
31,Male,Married,Bachelor,Semi-Urban,54469,651,3,224858,6862,1507233,60,12.42486593,40726.52329,2,2,32,Approved,0
48,Male,Married,Bachelor,Urban,105739,886,4,185365,36030,896273,36,7.911028548,30805.1733,1,7,78,Approved,1
45,Female,Single,PhD,Semi-Urban,149143,478,3,365504,34351,1128552,36,14.13703297,44643.98069,3,,62,,0
59,Male,Single,High School,Urban,93865,686,2,54367,73739,741505,60,11.03487885,19177.0982,2,0,96,Approved,0
53,Female,Divorced,High School,Semi-Urban,137063,663,0,277205,41685,1805879,48,7.974377619,49623.1134,,7,97,Approved,1
21,Female,Single,Master,Semi-Urban,96653,676,1,357331,52914,1376724,36,9.186903734,48782.19238,4,4,77,Rejected,0
47,Female,Married,High School,Semi-Urban,35075,872,4,160407,98048,1134543,24,9.462269822,56218.75166,0,5,58,Approved,1
33,Male,Single,Bachelor,Rural,24690,579,3,,14024,68876,36,8.792178719,2417.863973,2,,81,,0
61,Male,Single,High School,Rural,41019,373,0,209053,32601,557598,12,11.57098046,51843.12963,,,55,,0
23,Male,Married,High School,Rural,40164,799,2,31801,23306,1515468,60,10.65646872,38715.74778,1,5,42,Pending,1
59,Female,Single,Bachelor,Rural,51831,789,2,182250,84799,579516,36,8.794000918,20344.55353,4,3,17,Pending,0
26,Female,Married,Bachelor,Urban,52116,396,4,293656,65116,1265897,24,11.79709669,65190.63276,2,,64,,0
28,Male,Married,Bachelor,Urban,39065,334,3,160814,21460,1802441,60,13.5141832,50339.44824,2,,35,,0
47,Female,Married,High School,Urban,115622,889,2,336223,77752,71232,60,13.90656108,2012.693465,4,5,90,Approved,0
29,Male,Married,Master,Urban,130931,800,0,280113,41590,1834882,48,10.61502852,54457.8123,,0,88,Rejected,0
57,Male,Married,Bachelor,Urban,29729,585,3,,16674,492498,36,14.60385565,19674.14142,4,,67,,0
53,Female,Single,Bachelor,Rural,84312,382,0,300897,51651,1225152,24,8.472695359,59698.28305,,,55,,0
62,Female,Married,High School,Semi-Urban,36106,340,2,128670,21834,702945,24,10.35961699,35357.90914,2,,11,,0
64,Male,Married,Bachelor,Semi-Urban,97065,797,0,118092,42828,740695,48,10.92662691,22175.56077,,4,96,Pending,0
44,Female,Single,Bachelor,Urban,42609,895,2,150343,88197,796617,36,10.41204448,29040.2597,4,3,70,Approved,0
35,Male,Divorced,Bachelor,Semi-Urban,61825,512,1,469776,16768,1956400,60,8.936872667,47176.74807,0,,53,,0
52,Male,Married,PhD,Rural,77741,547,3,455401,16940,1650953,36,12.68100924,63306.2641,0,,21,,0
52,Female,Married,Master,Urban,142871,876,0,491639,41735,1126395,48,7.697900766,30692.29328,,8,52,Rejected,0
44,Male,Married,Bachelor,Rural,41193,896,3,225644,83076,1755521,12,11.75196585,163485.769,2,3,16,Rejected,0
61,Female,Single,High School,Urban,55173,420,0,199695,89581,835886,36,11.7525643,31405.55885,,,94,,0
32,Male,Married,Bachelor,Rural,63807,755,2,494023,87881,634129,12,8.630691736,57404.89327,2,2,71,Approved,0
59,Female,Single,High School,Urban,52948,724,2,43439,30309,184192,12,8.64363157,16676.07316,3,7,60,Rejected,0
22,Female,Single,Master,Semi-Urban,58402,736,1,164630,47266,756962,12,13.58829936,71651.68855,3,3,62,Approved,0
23,Male,Married,Bachelor,Rural,115222,699,0,52065,90068,1501585,36,12.86720227,57811.69272,,5,77,Rejected,0
57,Female,Married,Master,Semi-Urban,34895,540,1,87648,14523,240119,36,10.78470142,8827.98199,2,,55,,0
37,Female,Single,Master,Semi-Urban,111271,747,0,355289,81473,1650963,24,10.24299044,82882.45685,,2,30,Pending,1
22,Male,Married,Bachelor,Semi-Urban,25384,730,1,,82914,1429983,24,13.34374239,75483.72898,2,3,84,Approved,0
22,Female,Divorced,Bachelor,Urban,20202,418,3,,38597,580406,60,13.79423175,16345.31239,1,,63,,0
48,Male,Married,Bachelor,Urban,139567,874,2,343971,17719,83790,12,12.56192731,7859.636574,0,4,16,Approved,1
43,Female,Married,High School,Urban,107521,837,0,369731,42446,1299511,24,8.094836966,62912.39973,,3,63,Approved,0
57,Male,Married,Master,Urban,62839,786,4,139043,84795,934323,48,9.805339639,27099.52446,4,4,79,Approved,0
52,Male,Single,Bachelor,Rural,75582,789,4,345375,78706,1365339,24,7.779887702,65740.94508,1,2,32,Approved,1
53,Male,Single,High School,Rural,128676,713,2,132845,38346,287823,60,12.98437875,7911.385704,1,5,87,Approved,1
21,Male,Married,Master,Urban,86656,429,4,429578,80918,216139,48,10.12369486,6326.33357,4,,45,,0
39,Female,Single,High School,Rural,148093,840,4,382494,11082,1113268,60,7.868004282,25853.79783,3,1,18,Approved,0
22,Male,Married,High School,Urban,134681,737,4,275801,64708,1680158,48,13.09073345,53332.04211,0,7,33,Rejected,1
64,Female,Married,Bachelor,Urban,89494,459,1,119529,98889,1191658,48,10.90362516,35654.03512,4,,56,,0
46,Male,Married,Bachelor,Semi-Urban,52861,407,1,156385,24565,67796,48,11.60052751,2067.807802,2,,85,,0
52,Female,Single,Bachelor,Urban,85230,542,0,470713,73804,1855486,60,7.503096766,42526.34251,,,87,,0
26,Male,Single,Bachelor,Urban,74566,550,1,292676,58731,1511768,24,10.46831521,76178.38663,4,,21,,0
52,Female,Single,High School,Semi-Urban,45615,465,3,44554,48134,1692774,24,8.599316363,82662.83263,3,,7,,0
24,Female,Married,Bachelor,Rural,135161,576,0,271086,47648,801574,24,11.37338732,40996.09297,,,52,,0
31,Male,Single,Bachelor,Semi-Urban,76255,582,4,315172,90108,171918,12,11.79976712,16016.99364,3,,27,,0
37,Male,Married,PhD,Urban,107499,799,4,108765,17504,1017046,60,10.87749756,26169.86282,3,1,20,Rejected,0
58,Male,Single,High School,Urban,85746,333,2,409058,32201,1479361,36,8.337775592,51372.17781,4,,8,,0
44,Female,Married,High School,Semi-Urban,75854,466,0,155316,77769,1448225,48,14.26621469,47388.59481,,,13,,0
25,Female,Single,Master,Semi-Urban,71642,368,4,371439,14009,258052,24,12.01578956,13336.08211,1,,7,,0
54,Female,Married,PhD,Rural,126594,372,1,63587,28792,530822,36,9.256497874,18839.68282,0,,37,,0
26,Female,Single,Master,Rural,114227,600,4,194847,13586,1673506,24,12.35957334,86965.93345,2,,91,Pending,0
42,Male,Single,High School,Rural,110132,307,4,418011,40696,1010511,60,13.16029794,27924.03819,3,,43,,0
31,Male,Divorced,Bachelor,Semi-Urban,125652,823,2,351017,84708,617038,36,11.70517961,23158.72829,0,6,27,Pending,1
36,Male,Single,Bachelor,Urban,84996,675,4,298466,34853,214765,36,9.28703053,7627.802038,4,1,4,Rejected,0
53,Male,Married,Master,Semi-Urban,75118,482,3,228536,61788,1969341,36,13.6474063,77100.91398,3,,69,,0
29,Female,Divorced,High School,Semi-Urban,125141,567,3,208855,83490,968450,48,8.122833116,26731.50644,1,,39,,0
26,Female,Married,High School,Urban,69712,383,4,10780,72619,1057725,24,13.83054576,56262.63668,0,,33,,0
36,Male,Married,Bachelor,Semi-Urban,60335,833,4,114838,18536,1295522,24,7.319013979,61881.70302,1,8,91,Rejected,1
49,Female,Single,High School,Urban,56111,475,3,46996,66210,1107108,12,12.24477764,103555.9094,3,,47,,0
23,Male,Single,Bachelor,Rural,33334,600,1,231191,33926,337368,24,14.09830176,18020.59656,0,,14,Rejected,0
40,Female,Single,Master,Urban,20107,325,0,,40127,1994681,48,11.07547326,59965.88423,,,29,,0
56,Female,Single,Master,Rural,41315,408,3,421233,45868,543828,36,13.11104128,21048.12613,3,,4,,0
39,Female,Single,Bachelor,Urban,84092,666,2,218020,81997,1089804,60,12.33340499,29364.22841,3,2,3,Approved,0
46,Female,Single,Master,Semi-Urban,91332,406,3,438848,50094,1316781,60,8.88136824,31692.03079,1,,15,,0
23,Female,Married,High School,Urban,103991,738,0,371371,79631,1078726,12,11.60993003,100330.4445,,6,87,Approved,1
39,Female,Divorced,High School,Semi-Urban,52572,884,3,441011,19254,1363114,12,9.275480331,124129.1142,1,8,61,Approved,1
40,Male,Single,Bachelor,Urban,39207,496,0,230678,13757,240548,36,14.86585396,9661.84842,,,87,,0
52,Female,Single,High School,Urban,70923,301,1,77202,82482,1544748,48,13.6311117,49729.44378,2,,93,,0
27,Male,Single,High School,Urban,71652,839,1,477330,53371,1530883,36,13.97050989,60347.20785,2,1,55,Approved,0
61,Male,Single,Bachelor,Semi-Urban,128138,632,4,162723,37907,473778,48,14.80499491,15715.60907,3,,73,Rejected,0
